Date,Active,Recovered,Deceased,Total,Tests
2021-08-18,1,225,1,227,7057
2021-08-19,6,225,1,232,NA
2021-08-20,6,225,1,232,27899
2021-08-21,10,225,1,236,NA
2021-08-22,18,225,1,244,38389
2021-08-23,25,225,1,251,35766
2021-08-24,30,225,1,256,35376
2021-08-25,45,225,1,271,49745
2021-08-26,60,225,1,286,41739
2021-08-27,75,225,1,301,37020
2021-08-28,94,225,1,320,NA
2021-08-29,100,225,1,326,23139
2021-08-30,106,227,1,334,16370
2021-08-31,118,227,1,346,16755
2021-09-01,130,227,1,358,22158
2021-09-02,140,227,1,368,17683
2021-09-03,138,234,1,373,12796
2021-09-04,141,237,1,379,NA
2021-09-05,135,246,1,382,9238
2021-09-06,133,255,1,389,4750
2021-09-07,129,261,1,391,7255
2021-09-08,114,276,1,391,13230
2021-09-09,111,283,1,395,17684
2021-09-10,105,290,1,396,14181
2021-09-11,106,290,1,397,NA
2021-09-12,98,299,1,398,10958
2021-09-13,88,310,1,399,8657
2021-09-14,85,314,1,400,9279
2021-09-15,73,329,1,403,15105
2021-09-16,69,332,1,402,17578
2021-09-17,61,343,1,405,15419
2021-09-18,50,358,1,409,NA
2021-09-19,45,364,1,410,13833
2021-09-20,45,367,1,413,8084
2021-09-21,35,379,1,415,8346
2021-09-22,35,383,1,419,18877
2021-09-23,37,386,1,424,19194
2021-09-24,36,387,1,424,14855
2021-09-25,35,389,1,425,NA
2021-09-26,30,397,1,428,13442
2021-09-27,30,398,1,429,6906
2021-09-28,26,404,1,431,9955
2021-09-29,33,406,1,440,15437
2021-09-30,38,406,1,445,16537
2021-10-01,46,406,1,453,19038
2021-10-02,42,415,1,458,NA
2021-10-03,54,416,1,471,16915
2021-10-04,61,416,1,478,13693
2021-10-05,65,417,1,483,14905
2021-10-06,70,417,1,488,24714
2021-10-07,75,417,1,493,23387
2021-10-08,82,417,1,500,29925
2021-10-09,77,424,1,502,NA
2021-10-10,87,427,1,515,20421
2021-10-11,93,428,1,522,15349
2021-10-12,99,431,1,531,16565
2021-10-13,107,431,1,539,25799
2021-10-14,117,431,1,549,28646
2021-10-15,122,431,1,554,27766
2021-10-16,118,447,1,566,NA
2021-10-17,114,464,1,579,26667
2021-10-18,104,480,1,585,20809
2021-10-19,116,483,1,600,16921
2021-10-20,126,483,1,610,26330
2021-10-21,147,483,1,631,26669
2021-10-22,174,485,1,660,27831
2021-10-23,190,487,1,678,NA
2021-10-24,205,495,1,701,NA
2021-10-25,231,496,1,728,24343
2021-10-26,232,509,1,742,14430
2021-10-27,250,509,1,760,17536
2021-10-28,264,508,1,773,25893
2021-10-29,288,508,1,797,NA
2021-10-30,325,510,1,836,NA
2021-10-31,354,523,1,878,NA
